20220317/163723.144-0400

              1              2              3              4              5              6
        gravity     total_mass   total_radius      core_mass    core_radius      core_temp
   2.103954E+14       1.406531      10.657103       1.400000      10.000000   9.350000E+07


              1              2              3              4              5              6              7
          model           time        lg_Mdot        lg_Teff       lg_Lsurf         lg_Lnu        lg_Lnuc
              1  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              2  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              3  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              4  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              5  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              6  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              7  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              8  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
              9  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             10  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             11  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             12  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             13  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             14  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             15  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.539290
             16  -4.383000E+03      17.000000       5.986237      32.853048      30.216145      35.539290
             17  -4.383000E+03      17.000000       5.986238      32.853050      30.216145      35.539290
             18  -4.382999E+03      17.000000       5.986239      32.853058      30.216146      35.539290
             19  -4.382998E+03      17.000000       5.986246      32.853084      30.216146      35.539290
             20  -4.382993E+03      17.000000       5.986273      32.853190      30.216148      35.539290
             21  -4.382980E+03      17.000000       5.986376      32.853606      30.216153      35.539290
             22  -4.382939E+03      17.000000       5.986742      32.855067      30.216168      35.539290
             23  -4.382818E+03      17.000000       5.987939      32.859855      30.216214      35.539290
             24  -4.382455E+03      17.000000       5.991709      32.874937      30.216358      35.539290
             25  -4.381366E+03      17.000000       6.003108      32.920532      30.216841      35.539290
             26  -4.378097E+03      17.000000       6.033989      33.044055      30.218623      35.539290
             27  -4.368290E+03      17.000000       6.090460      33.269941      30.225942      35.539290
             28  -4.346836E+03      17.000000       6.142599      33.478497      30.244299      35.539290
             29  -4.308350E+03      17.000000       6.180470      33.629979      30.274008      35.539290
             30  -4.234100E+03      17.000000       6.211250      33.753101      30.325122      35.539290
             31  -4.091021E+03      17.000000       6.236646      33.854683      30.416764      35.539290
             32  -3.808886E+03      17.000000       6.257993      33.940074      30.563579      35.539290
             33  -3.272523E+03      17.000000       6.274099      34.004496      30.729316      35.539290
             34  -2.264136E+03      17.000000       6.284084      34.044436      30.854835      35.539290
             35  -4.384069E+02      17.000000       6.287951      34.059904      30.907528      35.539290
             36   0.000000E+00      17.000000       6.288199      34.060895      30.910964      35.539290
             37   0.000000E+00       0.000000       6.288199      34.060895      30.910964       0.000000
             38   5.644374E+01       0.000000       6.218814      33.783357      30.741875       0.000000
             39   6.510000E+01       0.000000       6.213184      33.760837      30.731165       0.000000
             40   6.510000E+01       0.000000       6.213184      33.760837      30.731165       0.000000
             41   7.375626E+01       0.000000       6.208015      33.740158      30.721339       0.000000
             42   9.972504E+01       0.000000       6.195332      33.689429      30.695536       0.000000
             43   1.776314E+02       0.000000       6.169383      33.585631      30.635980       0.000000
             44   2.357000E+02       0.000000       6.155603      33.530514      30.600508       0.000000
             45   2.357000E+02       0.000000       6.155603      33.530514      30.600508       0.000000
             46   2.937686E+02       0.000000       6.144242      33.485066      30.569301       0.000000
             47   4.679745E+02       0.000000       6.117517      33.378166      30.490976       0.000000
             48   7.516000E+02       0.000000       6.084642      33.246667      30.395069       0.000000
             49   7.516000E+02       0.000000       6.084642      33.246667      30.395069       0.000000
             50   9.295000E+02       0.000000       6.067455      33.177920      30.350714       0.000000
             51   9.295000E+02       0.000000       6.067455      33.177920      30.350714       0.000000
             52   1.107400E+03       0.000000       6.052162      33.116746      30.316420       0.000000
             53   1.500500E+03       0.000000       6.024710      33.006940      30.267325       0.000000
             54   1.500500E+03       0.000000       6.024710      33.006940      30.267325       0.000000
             55   1.582900E+03       0.000000       6.020081      32.988422      30.260440       0.000000
             56   1.582900E+03       0.000000       6.020081      32.988422      30.260440       0.000000
             57   1.665300E+03       0.000000       6.015835      32.971440      30.254448       0.000000
             58   1.912500E+03       0.000000       6.005282      32.929227      30.240763       0.000000
             59   2.654100E+03       0.000000       5.988659      32.862736      30.222254       0.000000
             60   3.039700E+03       0.000000       5.985283      32.849233      30.218830       0.000000
             61   3.039700E+03       0.000000       5.985283      32.849233      30.218830       0.000000
             62   3.425300E+03       0.000000       5.983538      32.842250      30.217117       0.000000
             63   4.582100E+03       0.000000       5.981992      32.836067      30.215629       0.000000
             64   5.312100E+03       0.000000       5.981823      32.835390      30.215467       0.000000
