20220317/163712.061-0400

              1              2              3              4              5              6
        gravity     total_mass   total_radius      core_mass    core_radius      core_temp
   2.103954E+14       1.406531      10.657103       1.400000      10.000000   9.350000E+07


              1              2              3              4              5              6              7
          model           time        lg_Mdot        lg_Teff       lg_Lsurf         lg_Lnu        lg_Lnuc
              1  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              2  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              3  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              4  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              5  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              6  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              7  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              8  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
              9  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             10  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             11  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             12  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             13  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             14  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             15  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.520743
             16  -4.383000E+03      17.000000       5.986237      32.853048      30.216145      35.520743
             17  -4.383000E+03      17.000000       5.986237      32.853049      30.216145      35.520743
             18  -4.382999E+03      17.000000       5.986239      32.853055      30.216146      35.520743
             19  -4.382998E+03      17.000000       5.986244      32.853076      30.216146      35.520743
             20  -4.382993E+03      17.000000       5.986266      32.853166      30.216148      35.520743
             21  -4.382980E+03      17.000000       5.986358      32.853533      30.216153      35.520743
             22  -4.382939E+03      17.000000       5.986687      32.854847      30.216167      35.520743
             23  -4.382818E+03      17.000000       5.987774      32.859195      30.216213      35.520743
             24  -4.382455E+03      17.000000       5.991217      32.872967      30.216355      35.520743
             25  -4.381366E+03      17.000000       6.001688      32.914853      30.216830      35.520743
             26  -4.378097E+03      17.000000       6.030328      33.029412      30.218574      35.520743
             27  -4.368290E+03      17.000000       6.083517      33.242169      30.225648      35.520743
             28  -4.346100E+03      17.000000       6.134488      33.446051      30.243525      35.520743
             29  -4.306215E+03      17.000000       6.171394      33.593674      30.271211      35.520743
             30  -4.228837E+03      17.000000       6.201535      33.714241      30.317176      35.520743
             31  -4.079101E+03      17.000000       6.226569      33.814376      30.398619      35.520743
             32  -3.781785E+03      17.000000       6.247767      33.899169      30.529895      35.520743
             33  -3.214363E+03      17.000000       6.263641      33.962665      30.677949      35.520743
             34  -2.149616E+03      17.000000       6.273132      34.000627      30.786652      35.520743
             35  -2.164848E+02      17.000000       6.276536      34.014243      30.829004      35.520743
             36   0.000000E+00      17.000000       6.276640      34.014662      30.830328      35.520743
             37   0.000000E+00       0.000000       6.276640      34.014662      30.830328       0.000000
             38   5.742723E+01       0.000000       6.208524      33.742196      30.695726       0.000000
             39   6.510000E+01       0.000000       6.203718      33.722973      30.687387       0.000000
             40   6.510000E+01       0.000000       6.203718      33.722973      30.687387       0.000000
             41   7.277277E+01       0.000000       6.199219      33.704976      30.679610       0.000000
             42   9.579109E+01       0.000000       6.188039      33.660257      30.658765       0.000000
             43   1.648460E+02       0.000000       6.164688      33.566851      30.609265       0.000000
             44   2.357000E+02       0.000000       6.147995      33.500080      30.568909       0.000000
             45   2.357000E+02       0.000000       6.147995      33.500080      30.568909       0.000000
             46   3.065540E+02       0.000000       6.134811      33.447345      30.534230       0.000000
             47   5.191158E+02       0.000000       6.104659      33.326736      30.449353       0.000000
             48   7.516000E+02       0.000000       6.079084      33.224434      30.379139       0.000000
             49   7.516000E+02       0.000000       6.079084      33.224434      30.379139       0.000000
             50   9.295000E+02       0.000000       6.062386      33.157644      30.338418       0.000000
             51   9.295000E+02       0.000000       6.062386      33.157644      30.338418       0.000000
             52   1.107400E+03       0.000000       6.047608      33.098533      30.307068       0.000000
             53   1.500500E+03       0.000000       6.021417      32.993769      30.262387       0.000000
             54   1.500500E+03       0.000000       6.021417      32.993769      30.262387       0.000000
             55   1.582900E+03       0.000000       6.017057      32.976328      30.256140       0.000000
             56   1.582900E+03       0.000000       6.017057      32.976328      30.256140       0.000000
             57   1.665300E+03       0.000000       6.013074      32.960395      30.250705       0.000000
             58   1.912500E+03       0.000000       6.003248      32.921092      30.238308       0.000000
             59   2.654100E+03       0.000000       5.988000      32.860101      30.221577       0.000000
             60   3.039700E+03       0.000000       5.984940      32.847861      30.218491       0.000000
             61   3.039700E+03       0.000000       5.984940      32.847861      30.218491       0.000000
             62   3.425300E+03       0.000000       5.983363      32.841551      30.216947       0.000000
             63   4.582100E+03       0.000000       5.981969      32.835975      30.215607       0.000000
             64   5.312100E+03       0.000000       5.981816      32.835365      30.215461       0.000000
