20220317/163711.306-0400

              1              2              3              4              5              6
        gravity     total_mass   total_radius      core_mass    core_radius      core_temp
   2.103954E+14       1.406531      10.657103       1.400000      10.000000   9.350000E+07


              1              2              3              4              5              6              7
          model           time        lg_Mdot        lg_Teff       lg_Lsurf         lg_Lnu        lg_Lnuc
              1  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              2  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              3  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              4  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              5  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              6  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              7  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              8  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
              9  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             10  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             11  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             12  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             13  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             14  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             15  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.519478
             16  -4.383000E+03      17.000000       5.986237      32.853048      30.216145      35.519478
             17  -4.383000E+03      17.000000       5.986237      32.853049      30.216145      35.519478
             18  -4.382999E+03      17.000000       5.986239      32.853055      30.216146      35.519478
             19  -4.382998E+03      17.000000       5.986244      32.853075      30.216146      35.519478
             20  -4.382993E+03      17.000000       5.986266      32.853164      30.216148      35.519478
             21  -4.382980E+03      17.000000       5.986357      32.853528      30.216153      35.519478
             22  -4.382939E+03      17.000000       5.986683      32.854833      30.216167      35.519478
             23  -4.382818E+03      17.000000       5.987763      32.859151      30.216213      35.519478
             24  -4.382455E+03      17.000000       5.991184      32.872836      30.216355      35.519478
             25  -4.381366E+03      17.000000       6.001593      32.914473      30.216829      35.519478
             26  -4.378097E+03      17.000000       6.030081      33.028426      30.218570      35.519478
             27  -4.368290E+03      17.000000       6.083045      33.240280      30.225629      35.519478
             28  -4.346048E+03      17.000000       6.133930      33.443821      30.243479      35.519478
             29  -4.306063E+03      17.000000       6.170769      33.591175      30.271045      35.519478
             30  -4.228460E+03      17.000000       6.200865      33.711559      30.316703      35.519478
             31  -4.078240E+03      17.000000       6.225874      33.811595      30.397542      35.519478
             32  -3.779845E+03      17.000000       6.247060      33.896342      30.527859      35.519478
             33  -3.210268E+03      17.000000       6.262916      33.959766      30.674757      35.519478
             34  -2.141507E+03      17.000000       6.272372      33.997588      30.782366      35.519478
             35  -2.007828E+02      17.000000       6.275745      34.011079      30.824053      35.519478
             36   0.000000E+00      17.000000       6.275841      34.011464      30.825259      35.519478
             37   0.000000E+00       0.000000       6.275841      34.011464      30.825259       0.000000
             38   5.747560E+01       0.000000       6.207828      33.739414      30.692731       0.000000
             39   6.510000E+01       0.000000       6.203066      33.720363      30.684516       0.000000
             40   6.510000E+01       0.000000       6.203066      33.720363      30.684516       0.000000
             41   7.272440E+01       0.000000       6.198602      33.702506      30.676848       0.000000
             42   9.559761E+01       0.000000       6.187503      33.658113      30.656272       0.000000
             43   1.642172E+02       0.000000       6.164298      33.565290      30.607334       0.000000
             44   2.357000E+02       0.000000       6.147475      33.498000      30.566830       0.000000
             45   2.357000E+02       0.000000       6.147475      33.498000      30.566830       0.000000
             46   3.071828E+02       0.000000       6.134216      33.444966      30.532059       0.000000
             47   5.216311E+02       0.000000       6.103928      33.323813      30.447054       0.000000
             48   7.516000E+02       0.000000       6.078707      33.222929      30.378097       0.000000
             49   7.516000E+02       0.000000       6.078707      33.222929      30.378097       0.000000
             50   9.295000E+02       0.000000       6.062044      33.156278      30.337616       0.000000
             51   9.295000E+02       0.000000       6.062044      33.156278      30.337616       0.000000
             52   1.107400E+03       0.000000       6.047303      33.097310      30.306459       0.000000
             53   1.500500E+03       0.000000       6.021199      32.992895      30.262066       0.000000
             54   1.500500E+03       0.000000       6.021199      32.992895      30.262066       0.000000
             55   1.582900E+03       0.000000       6.016857      32.975528      30.255860       0.000000
             56   1.582900E+03       0.000000       6.016857      32.975528      30.255860       0.000000
             57   1.665300E+03       0.000000       6.012891      32.959666      30.250462       0.000000
             58   1.912500E+03       0.000000       6.003114      32.920558      30.238149       0.000000
             59   2.654100E+03       0.000000       5.987957      32.859930      30.221534       0.000000
             60   3.039700E+03       0.000000       5.984918      32.847772      30.218469       0.000000
             61   3.039700E+03       0.000000       5.984918      32.847772      30.218469       0.000000
             62   3.425300E+03       0.000000       5.983351      32.841505      30.216936       0.000000
             63   4.582100E+03       0.000000       5.981967      32.835969      30.215606       0.000000
             64   5.312100E+03       0.000000       5.981816      32.835364      30.215461       0.000000
