20220317/163718.083-0400

              1              2              3              4              5              6
        gravity     total_mass   total_radius      core_mass    core_radius      core_temp
   2.103954E+14       1.406531      10.657103       1.400000      10.000000   9.350000E+07


              1              2              3              4              5              6              7
          model           time        lg_Mdot        lg_Teff       lg_Lsurf         lg_Lnu        lg_Lnuc
              1  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              2  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              3  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              4  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              5  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              6  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              7  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              8  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
              9  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             10  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             11  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             12  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             13  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             14  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             15  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.530733
             16  -4.383000E+03      17.000000       5.986237      32.853048      30.216145      35.530733
             17  -4.383000E+03      17.000000       5.986237      32.853050      30.216145      35.530733
             18  -4.382999E+03      17.000000       5.986239      32.853056      30.216146      35.530733
             19  -4.382998E+03      17.000000       5.986245      32.853080      30.216146      35.530733
             20  -4.382993E+03      17.000000       5.986270      32.853179      30.216148      35.530733
             21  -4.382980E+03      17.000000       5.986368      32.853572      30.216153      35.530733
             22  -4.382939E+03      17.000000       5.986716      32.854964      30.216168      35.530733
             23  -4.382818E+03      17.000000       5.987862      32.859547      30.216213      35.530733
             24  -4.382455E+03      17.000000       5.991480      32.874018      30.216357      35.530733
             25  -4.381366E+03      17.000000       6.002447      32.917887      30.216836      35.530733
             26  -4.378097E+03      17.000000       6.032289      33.037256      30.218600      35.530733
             27  -4.368290E+03      17.000000       6.087252      33.257107      30.225801      35.530733
             28  -4.346498E+03      17.000000       6.138876      33.463602      30.243920      35.530733
             29  -4.307382E+03      17.000000       6.176307      33.613327      30.272635      35.530733
             30  -4.231716E+03      17.000000       6.206798      33.735291      30.321219      35.530733
             31  -4.085647E+03      17.000000       6.232027      33.836208      30.407831      35.530733
             32  -3.796660E+03      17.000000       6.253307      33.921328      30.547125      35.530733
             33  -3.245524E+03      17.000000       6.269323      33.985392      30.704638      35.530733
             34  -2.212024E+03      17.000000       6.279074      34.024397      30.822132      35.530733
             35  -3.371837E+02      17.000000       6.282726      34.039003      30.869910      35.530733
             36   0.000000E+00      17.000000       6.282904      34.039714      30.872271      35.530733
             37   0.000000E+00       0.000000       6.282904      34.039714      30.872271       0.000000
             38   5.616552E+01       0.000000       6.214508      33.766133      30.720995       0.000000
             39   6.510000E+01       0.000000       6.208766      33.743163      30.710550       0.000000
             40   6.510000E+01       0.000000       6.208766      33.743163      30.710550       0.000000
             41   7.403448E+01       0.000000       6.203526      33.722205      30.700954       0.000000
             42   1.008379E+02       0.000000       6.190726      33.671004      30.675739       0.000000
             43   1.812482E+02       0.000000       6.164716      33.566963      30.617458       0.000000
             44   2.357000E+02       0.000000       6.152092      33.516467      30.585660       0.000000
             45   2.357000E+02       0.000000       6.152092      33.516467      30.585660       0.000000
             46   2.901518E+02       0.000000       6.141551      33.474305      30.557394       0.000000
             47   4.535070E+02       0.000000       6.116473      33.373993      30.485682       0.000000
             48   7.516000E+02       0.000000       6.082071      33.236385      30.387558       0.000000
             49   7.516000E+02       0.000000       6.082071      33.236385      30.387558       0.000000
             50   9.295000E+02       0.000000       6.065103      33.168513      30.344911       0.000000
             51   9.295000E+02       0.000000       6.065103      33.168513      30.344911       0.000000
             52   1.107400E+03       0.000000       6.050043      33.108274      30.312003       0.000000
             53   1.500500E+03       0.000000       6.023169      33.000776      30.264990       0.000000
             54   1.500500E+03       0.000000       6.023169      33.000776      30.264990       0.000000
             55   1.582900E+03       0.000000       6.018664      32.982757      30.258406       0.000000
             56   1.582900E+03       0.000000       6.018664      32.982757      30.258406       0.000000
             57   1.665300E+03       0.000000       6.014540      32.966260      30.252678       0.000000
             58   1.912500E+03       0.000000       6.004325      32.925400      30.239602       0.000000
             59   2.654100E+03       0.000000       5.988348      32.861490      30.221934       0.000000
             60   3.039700E+03       0.000000       5.985121      32.848584      30.218670       0.000000
             61   3.039700E+03       0.000000       5.985121      32.848584      30.218670       0.000000
             62   3.425300E+03       0.000000       5.983455      32.841919      30.217037       0.000000
             63   4.582100E+03       0.000000       5.981981      32.836024      30.215619       0.000000
             64   5.312100E+03       0.000000       5.981820      32.835378      30.215464       0.000000
