20220317/163709.038-0400

              1              2              3              4              5              6
        gravity     total_mass   total_radius      core_mass    core_radius      core_temp
   2.103954E+14       1.406531      10.657103       1.400000      10.000000   9.350000E+07


              1              2              3              4              5              6              7
          model           time        lg_Mdot        lg_Teff       lg_Lsurf         lg_Lnu        lg_Lnuc
              1  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              2  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              3  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              4  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              5  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              6  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              7  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              8  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
              9  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             10  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             11  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             12  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             13  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             14  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             15  -4.383000E+03      17.000000       5.986237      32.853047      30.216145      35.515660
             16  -4.383000E+03      17.000000       5.986237      32.853048      30.216145      35.515660
             17  -4.383000E+03      17.000000       5.986237      32.853049      30.216145      35.515660
             18  -4.382999E+03      17.000000       5.986239      32.853054      30.216146      35.515660
             19  -4.382998E+03      17.000000       5.986243      32.853074      30.216146      35.515660
             20  -4.382993E+03      17.000000       5.986265      32.853159      30.216148      35.515660
             21  -4.382980E+03      17.000000       5.986353      32.853513      30.216153      35.515660
             22  -4.382939E+03      17.000000       5.986672      32.854789      30.216167      35.515660
             23  -4.382818E+03      17.000000       5.987730      32.859019      30.216212      35.515660
             24  -4.382455E+03      17.000000       5.991085      32.872441      30.216354      35.515660
             25  -4.381366E+03      17.000000       6.001308      32.913332      30.216827      35.515660
             26  -4.378097E+03      17.000000       6.029340      33.025459      30.218561      35.515660
             27  -4.368290E+03      17.000000       6.081621      33.234585      30.225574      35.515660
             28  -4.345886E+03      17.000000       6.132251      33.437104      30.243350      35.515660
             29  -4.305592E+03      17.000000       6.168881      33.583626      30.270562      35.515660
             30  -4.227298E+03      17.000000       6.198837      33.703449      30.315329      35.515660
             31  -4.075577E+03      17.000000       6.223772      33.803189      30.394415      35.515660
             32  -3.773851E+03      17.000000       6.244923      33.887792      30.521921      35.515660
             33  -3.197572E+03      17.000000       6.260724      33.950996      30.665394      35.515660
             34  -2.116173E+03      17.000000       6.270073      33.988391      30.769731      35.515660
             35  -1.520103E+02      17.000000       6.273349      34.001497      30.809425      35.515660
             36   0.000000E+00      17.000000       6.273419      34.001778      30.810290      35.515660
             37   0.000000E+00       0.000000       6.273419      34.001778      30.810290       0.000000
             38   5.737933E+01       0.000000       6.205863      33.731553      30.684050       0.000000
             39   6.510000E+01       0.000000       6.201069      33.712377      30.675935       0.000000
             40   6.510000E+01       0.000000       6.201069      33.712377      30.675935       0.000000
             41   7.282067E+01       0.000000       6.196585      33.694440      30.668360       0.000000
             42   9.598267E+01       0.000000       6.185461      33.649942      30.648019       0.000000
             43   1.654687E+02       0.000000       6.162258      33.557133      30.599615       0.000000
             44   2.357000E+02       0.000000       6.145904      33.491715      30.560612       0.000000
             45   2.357000E+02       0.000000       6.145904      33.491715      30.560612       0.000000
             46   3.059313E+02       0.000000       6.132953      33.439910      30.526995       0.000000
             47   5.166253E+02       0.000000       6.103258      33.321131      30.444502       0.000000
             48   7.516000E+02       0.000000       6.077574      33.218397      30.374984       0.000000
             49   7.516000E+02       0.000000       6.077574      33.218397      30.374984       0.000000
             50   9.295000E+02       0.000000       6.061016      33.152165      30.335221       0.000000
             51   9.295000E+02       0.000000       6.061016      33.152165      30.335221       0.000000
             52   1.107400E+03       0.000000       6.046384      33.093635      30.304642       0.000000
             53   1.500500E+03       0.000000       6.020544      32.990277      30.261110       0.000000
             54   1.500500E+03       0.000000       6.020544      32.990277      30.261110       0.000000
             55   1.582900E+03       0.000000       6.016257      32.973129      30.255027       0.000000
             56   1.582900E+03       0.000000       6.016257      32.973129      30.255027       0.000000
             57   1.665300E+03       0.000000       6.012346      32.957482      30.249738       0.000000
             58   1.912500E+03       0.000000       6.002715      32.918961      30.237674       0.000000
             59   2.654100E+03       0.000000       5.987830      32.859419      30.221403       0.000000
             60   3.039700E+03       0.000000       5.984852      32.847507      30.218404       0.000000
             61   3.039700E+03       0.000000       5.984852      32.847507      30.218404       0.000000
             62   3.425300E+03       0.000000       5.983318      32.841370      30.216904       0.000000
             63   4.582100E+03       0.000000       5.981963      32.835952      30.215601       0.000000
             64   5.312100E+03       0.000000       5.981815      32.835359      30.215460       0.000000
